row_id,address_line_1,address_line_2,city,state,zip,phone,mon_hrs,tue_hrs,wed_hrs,thu_hrs,fri_hrs,sat_hrs,sun_hrs,drive-thru,mobile-order,dunkin-card,kcup,curbside-pickup,has-baskin-robbins,loc_lat,loc_long
10,3201 Buttermilk Rd,,Cottondale,AL,35453,(205) 633-2155,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,False,False,False,True,False,False,33.1786662,-87.4466508
11,1600 County Rd 437,,Cullman,AL,35055,(256) 255-5638,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,False,False,False,True,False,False,N/A,N/A
12,29160 US Highway 98,,Daphne,AL,36526,(251) 621-2228,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,True,True,True,False,False,N/A,N/A
13,29728 Urgent Care Dr,Suite A,Daphne,AL,36526,(251) 509-9349,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,True,True,True,False,False,N/A,N/A
14,1024 6th Ave SE,,Decatur,AL,35601,(256) 960-9349,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,False,True,True,False,True,34.5983261,-86.9801446
15,1865 E Main St,Suite 1,Dothan,AL,36301,(334) 686-0001,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,False,True,True,True,False,N/A,N/A
16,2141 Ross Clark Cir,,Dothan,AL,36301,(334) 671-0064,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,True,False,31.190013761108624,-85.39953114870188
17,3835 W Main St,Suite 1,Dothan,AL,36305,(334) 836-7414,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,True,True,True,True,False,N/A,N/A
18,4185 Montgomery Hwy,,Dothan,AL,36303,(334) 446-1715,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,True,False,31.26214422830943,-85.43898066914252
19,906 Boll Weevil Circle,Ste A,Enterprise,AL,36330,(334) 433-9806,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,False,True,True,True,False,N/A,N/A
20,1531 Florence Blvd,,Florence,AL,35630,(256) 960-9424,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,False,False,False,False,False,False,34.81964971428571,-87.65655442857143
21,9201 Grand Bay Wilmer Rd,,Grand Bay,AL,36541,(251) 865-0268,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,True,False,True,True,False,False,30.486861,-88.341222
22,426 AL Highway 69 S,,Hanceville,AL,35077,(256) 615-6178,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,False,False,True,N/A,N/A
23,2536 Helena Rd,Ste D,Helena,AL,35080,,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 12:00 AM,6:00 AM - 8:00 PM,False,False,False,False,False,False,N/A,N/A
24,505 Brookwood Blvd,,Homewood,AL,35209,(205) 803-3530,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,True,True,True,True,False,False,33.4686441509357,-86.7757161970807
25,5413 US 280,Ste 100,Hoover,AL,35242,,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 12:00 AM,6:00 AM - 8:00 PM,False,False,False,False,False,False,N/A,N/A
26,10055 Memorial Pkwy SE,Suite B,Huntsville,AL,35803,(256) 960-9263,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,False,True,True,False,False,N/A,N/A
27,1221B Memorial Pkwy NW,,Huntsville,AL,35801,(256) 960-9197,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,True,True,True,False,False,34.7697664,-86.5862016
28,2785 Carl T Jones Dr SE,Suite A,Huntsville,AL,35802,(256) 960-9239,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,True,True,True,True,False,False,N/A,N/A
29,301 Sparkman Dr NW,,Huntsville,AL,35805,(256) 824-4587,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 5:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,False,False,False,False,False,False,34.7234857,-86.6379901
30,2111 Moody Parkway,,Leeds,AL,35094,(205) 571-9994,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,False,False,False,False,False,False,33.56512,-86.5214883
31,103 Brookridge Dr,Suite B,Madison,AL,35758,(256) 960-9231,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,False,True,True,False,False,N/A,N/A
32,11212 County Line Rd,Suite A,Madison,AL,35758,(256) 503-5124,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,True,True,False,False,False,N/A,N/A
33,1753 Springhill Ave,,Mobile,AL,36607,(251) 442-5581,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,True,True,True,False,False,30.7005685,-88.1132815
34,505 Schillinger Rd S,#A-110,Mobile,AL,36695,(251) 442-4845,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,True,False,N/A,N/A
35,5701 Old Shell Rd,,Mobile,AL,36608,(251) 366-4823,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,False,False,30.689272,-88.173939
36,790 Ann St,,Montgomery,AL,36107,(334) 356-2003,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,False,False,False,False,False,False,32.370198,-86.270962
37,8025 Vaughn Rd,,Montgomery,AL,36116,(334) 260-7700,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,True,False,32.338796208333335,-86.1754634375
38,1609 Woodward Ave,,Muscle Shoals,AL,35661,(256) 960-9414,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,False,34.74629528571429,-87.66758357142857
39,2103 Pepperell Parkway,,Opelika,AL,36801,(334) 610-0642,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,True,True,True,True,False,False,32.6373968,-85.4087826
40,10 Oxford Exchange Blvd,,Oxford,AL,36203,(256) 831-4696,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,False,False,33.609013,-85.7848283
41,700 S Quintard Ave,,Oxford,AL,36203,(256) 831-0702,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,False,False,False,False,False,False,33.619954,-85.828109
42,480 Cahaba Valley Rd,Suite A,Pelham,AL,35124,(205) 988-3664,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,True,True,True,True,False,False,N/A,N/A
43,1413 Highway 280 BYP,Suite B,Phenix City,AL,36867,(334) 384-9645,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,False,False,N/A,N/A
44,2020 Cobbs Ford Rd,Suite 1,Prattville,AL,36066,(334) 380-3889,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,False,False,N/A,N/A
45,100 Troy Plaza Loop,,Troy,AL,36081,(334) 808-1353,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,False,False,False,False,False,False,31.783174,-85.951579
46,160 McCorvey Dr,,Tuscaloosa,AL,35487,(205) 348-4041,Closed,Closed,Closed,Closed,Closed,Closed,Closed,False,False,False,False,False,False,33.217512843668395,-87.54592946630271
47,2520 Stillman Blvd,,Tuscaloosa,AL,35401,(205) 349-3400,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,True,True,True,True,True,False,33.205605827846156,-87.5685542299738
48,3615 McFarland Blvd E,Suite 101,Tuscaloosa,AL,35405,(205) 633-2822,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,True,False,N/A,N/A
49,2804 20th Ave,,Valley,AL,36854,(334) 528-0201,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,False,32.813769,-85.171156
50,1284 Montgomery Hwy,,Vestavia,AL,35216,(205) 582-2095,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,False,33.4225501,-86.7975161
51,2419 Acton Rd,,Vestavia Hills,AL,35243,(205) 490-1241,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,False,33.410512,-86.763772
52,313 Cane Creek Rd,11A,Warrior,AL,35180,(205) 590-0330,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,True,True,True,True,False,False,N/A,N/A
53,5267 US Highway 231,,Wetumpka,AL,36092,(334) 478-4148,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,6:30 AM - 9:00 PM,True,True,True,True,True,False,N/A,N/A
54,1700 Umiak Dr,,False Pass,AK,99583,,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,False,False,False,False,False,False,N/A,N/A
55,1800 Umiak Dr,,False Pass,AK,99583,,12:00 AM - 12:00 AM,3:00 AM - 7:00 PM,12:00 AM - 12:00 AM,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,False,False,False,False,False,False,N/A,N/A
56,12685 W Indian School Rd,#101,Avondale,AZ,85392,(602) 635-1619,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,False,False,False,False,False,False,N/A,N/A
57,675 S Watson Rd,Ste 107,Buckeye,AZ,85326,(623) 386-1102,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,True,True,True,False,False,N/A,N/A
58,1306 E Florence Blvd,,Casa Grande,AZ,85122,(520) 836-1369,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False,32.8795604,-111.7356067
59,1970 W Elliot Rd,,Chandler,AZ,85224,(480) 897-9728,4:00 AM - 3:00 PM,4:00 AM - 3:00 PM,4:00 AM - 3:00 PM,4:00 AM - 3:00 PM,4:00 AM - 3:00 PM,5:00 AM - 3:00 PM,5:00 AM - 3:00 PM,True,True,True,True,False,False,33.35005905,-111.87521439378142
60,2001 N Arizona Ave,Ste 101,Chandler,AZ,85225,(480) 726-3772,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False,N/A,N/A
61,2021 S Alma School Rd,,Chandler,AZ,85248,(480) 821-9761,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,False,True,True,True,False,False,33.27333294921658,-111.8584068853579
62,2051 W. Chandler Blvd,Suite 10,Chandler,AZ,85224,(480) 857-8990,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 4:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False,N/A,N/A
63,4225 S Gilbert Rd,,Chandler,AZ,85249,(480) 923-7262,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 5:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False,33.2306906,-111.7894895
64,5800 W Chandler Blvd,,Chandler,AZ,85226,(480) 940-2458,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,True,False,True,True,False,True,33.305454,-111.941795
65,980 E Pecos Rd,,Chandler,AZ,85225,(480) 770-3935,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,4:00 AM - 3:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,True,True,True,True,False,False,33.29175567548978,-111.82473481820733
66,990 E Riggs Rd,,Chandler,AZ,85249,(480) 895-2224,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False,33.2196781,-111.824619
67,1006 S Main St,,Cottonwood,AZ,86326,(928) 399-7020,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,False,True,True,34.7266319,-112.0083217
68,199 W 5th St,,Douglas,AZ,85607,(520) 727-7075,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,False,True,True,True,False,False,N/A,N/A
69,16189 S Sunshine Blvd,,Eloy,AZ,85131,(520) 466-9204,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,False,False,False,False,False,False,32.73238015,-111.54938477191746
70,1020 S Milton Rd,Ste 101,Flagstaff,AZ,86001,(928) 266-0541,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 5:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,False,True,True,True,True,False,N/A,N/A
71,4419 N US Highway 89,,Flagstaff,AZ,86004,,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,False,False,False,False,False,False,N/A,N/A
72,1633 S Higley Rd,Suite 103,Gilbert,AZ,85296,(480) 783-2310,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False,N/A,N/A
73,3140 E Chandler Heights Rd,,Gilbert,AZ,85298,(480) 783-2317,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False,33.23437255,-111.72210825
74,857 E. Warner Rd,Suite 105,Gilbert,AZ,85296,(480) 503-9279,4:00 AM - 7:00 PM,4:00 AM - 4:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False,N/A,N/A
75,13887 N 59th Ave,,Glendale,AZ,85306,(602) 978-1155,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False,33.612066049999996,-112.18540189902073
76,20229 N. 67th Ave,Suite C5,Glendale,AZ,85308,(623) 376-9700,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,5:00 AM - 7:00 PM,False,False,True,True,True,False,N/A,N/A
77,5143 W Olive Ave,,Glendale,AZ,85302,(623) 777-3640,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False,33.567424,-112.1702482857143
78,5795 West Bell Road,Suite 4,Glendale,AZ,85308,,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,False,False,False,False,False,False,N/A,N/A
79,7507 W Rose Garden Ln,Suite 101,Glendale,AZ,85308,(480) 750-4309,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 2:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False,N/A,N/A
80,211 N Estrella Pkwy,Ste 101,Goodyear,AZ,85338,(623) 455-5004,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,True,N/A,N/A
81,3535 Stockton Hill Rd,Suite A,Kingman,AZ,86409,(928) 757-2775,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,True,True,True,True,True,False,N/A,N/A
82,970 S Blake Ranch Rd,,Kingman,AZ,86401,(928) 681-5246,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,False,False,True,True,False,False,N/A,N/A
83,14750 Highway 95,In Pilot Travel Center,Lake Havasu City,AZ,86404,(928) 764-2410,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,False,False,False,False,False,False,N/A,N/A
84,85 Lake Havasu Ave N,,Lake Havasu City,AZ,86403,(928) 846-8466,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,True,True,34.476294067196754,-114.3463087136487
